CPU,Path,opp_freq_dec,opp_freq_hex,u_volt_min_dec,u_volt_min_hex,u_volt_max_dec,u_volt_max_hex,u_volt_target_dec,u_volt_target_hex,u_amp_dec,u_amp_hex,u_watt_dec,u_watt_hex
cpu11,/sys/kernel/debug/opp/cpu11/opp:2487000000/supply-0,2487000000,0x943c9bc0,1000000,0xf4240,1000000,0xf4240,1000000,0xf4240,406000,0x631f0,1906000,0x1d1550
cpu11,/sys/kernel/debug/opp/cpu11/opp:2350000000/supply-0,2350000000,0x8c122780,900000,0xdbba0,900000,0xdbba0,900000,0xdbba0,338000,0x52850,1602000,0x1871d0
cpu11,/sys/kernel/debug/opp/cpu11/opp:2237000000/supply-0,2237000000,0x8555e940,1000000,0xf4240,1000000,0xf4240,1000000,0xf4240,284000,0x45560,1405000,0x157048
cpu11,/sys/kernel/debug/opp/cpu11/opp:2120000000/supply-0,2120000000,0x7e5ca200,900000,0xdbba0,900000,0xdbba0,900000,0xdbba0,250000,0x3d090,1238000,0x12e3f0
cpu11,/sys/kernel/debug/opp/cpu11/opp:1992000000/supply-0,1992000000,0x76bb8200,900000,0xdbba0,900000,0xdbba0,900000,0xdbba0,214000,0x343f0,1094000,0x10b170
cpu11,/sys/kernel/debug/opp/cpu11/opp:1844000000/supply-0,1844000000,0x6de93500,900000,0xdbba0,900000,0xdbba0,900000,0xdbba0,181000,0x2c308,930000,0xe30d0
cpu11,/sys/kernel/debug/opp/cpu11/opp:1696000000/supply-0,1696000000,0x6516e800,800000,0xc3500,800000,0xc3500,800000,0xc3500,154000,0x25990,811000,0xc5ff8
cpu11,/sys/kernel/debug/opp/cpu11/opp:1594000000/supply-0,1594000000,0x5f028280,800000,0xc3500,800000,0xc3500,800000,0xc3500,134000,0x20b70,737000,0xb3ee8
cpu11,/sys/kernel/debug/opp/cpu11/opp:1479000000/supply-0,1479000000,0x5827bfc0,800000,0xc3500,800000,0xc3500,800000,0xc3500,117000,0x1c908,648000,0x9e340
cpu11,/sys/kernel/debug/opp/cpu11/opp:1364000000/supply-0,1364000000,0x514cfd00,800000,0xc3500,800000,0xc3500,800000,0xc3500,101000,0x18a88,574000,0x8c230
cpu11,/sys/kernel/debug/opp/cpu11/opp:1239000000/supply-0,1239000000,0x49d9a3c0,700000,0xaae60,700000,0xaae60,700000,0xaae60,84000,0x14820,501000,0x7a508
cpu10,/sys/kernel/debug/opp/cpu10/opp:2487000000/supply-0,2487000000,0x943c9bc0,1000000,0xf4240,1000000,0xf4240,1000000,0xf4240,406000,0x631f0,1906000,0x1d1550
cpu10,/sys/kernel/debug/opp/cpu10/opp:2350000000/supply-0,2350000000,0x8c122780,900000,0xdbba0,900000,0xdbba0,900000,0xdbba0,338000,0x52850,1602000,0x1871d0
cpu10,/sys/kernel/debug/opp/cpu10/opp:2237000000/supply-0,2237000000,0x8555e940,1000000,0xf4240,1000000,0xf4240,1000000,0xf4240,284000,0x45560,1405000,0x157048
cpu10,/sys/kernel/debug/opp/cpu10/opp:2120000000/supply-0,2120000000,0x7e5ca200,900000,0xdbba0,900000,0xdbba0,900000,0xdbba0,250000,0x3d090,1238000,0x12e3f0
cpu10,/sys/kernel/debug/opp/cpu10/opp:1992000000/supply-0,1992000000,0x76bb8200,900000,0xdbba0,900000,0xdbba0,900000,0xdbba0,214000,0x343f0,1094000,0x10b170
cpu10,/sys/kernel/debug/opp/cpu10/opp:1844000000/supply-0,1844000000,0x6de93500,900000,0xdbba0,900000,0xdbba0,900000,0xdbba0,181000,0x2c308,930000,0xe30d0
cpu10,/sys/kernel/debug/opp/cpu10/opp:1696000000/supply-0,1696000000,0x6516e800,800000,0xc3500,800000,0xc3500,800000,0xc3500,154000,0x25990,811000,0xc5ff8
cpu10,/sys/kernel/debug/opp/cpu10/opp:1594000000/supply-0,1594000000,0x5f028280,800000,0xc3500,800000,0xc3500,800000,0xc3500,134000,0x20b70,737000,0xb3ee8
cpu10,/sys/kernel/debug/opp/cpu10/opp:1479000000/supply-0,1479000000,0x5827bfc0,800000,0xc3500,800000,0xc3500,800000,0xc3500,117000,0x1c908,648000,0x9e340
cpu10,/sys/kernel/debug/opp/cpu10/opp:1364000000/supply-0,1364000000,0x514cfd00,800000,0xc3500,800000,0xc3500,800000,0xc3500,101000,0x18a88,574000,0x8c230
cpu10,/sys/kernel/debug/opp/cpu10/opp:1239000000/supply-0,1239000000,0x49d9a3c0,700000,0xaae60,700000,0xaae60,700000,0xaae60,84000,0x14820,501000,0x7a508
cpu9,/sys/kernel/debug/opp/cpu9/opp:2150000000/supply-0,2150000000,0x80266580,1100000,0x10c8e0,1100000,0x10c8e0,1100000,0x10c8e0,373000,0x5b108,1144000,0x1174c0
cpu9,/sys/kernel/debug/opp/cpu9/opp:2020000000/supply-0,2020000000,0x7866c100,1000000,0xf4240,1000000,0xf4240,1000000,0xf4240,314000,0x4ca90,956000,0xe9660
cpu9,/sys/kernel/debug/opp/cpu9/opp:1930000000/supply-0,1930000000,0x73097680,1000000,0xf4240,1000000,0xf4240,1000000,0xf4240,267000,0x412f8,876000,0xd5de0
cpu9,/sys/kernel/debug/opp/cpu9/opp:1850000000/supply-0,1850000000,0x6e44c280,900000,0xdbba0,900000,0xdbba0,900000,0xdbba0,273000,0x42a68,795000,0xc2178
cpu9,/sys/kernel/debug/opp/cpu9/opp:1748000000/supply-0,1748000000,0x68305d00,900000,0xdbba0,900000,0xdbba0,900000,0xdbba0,197000,0x30188,712000,0xadd40
cpu9,/sys/kernel/debug/opp/cpu9/opp:1652000000/supply-0,1652000000,0x62778500,900000,0xdbba0,900000,0xdbba0,900000,0xdbba0,168000,0x29040,639000,0x9c018
cpu9,/sys/kernel/debug/opp/cpu9/opp:1570000000/supply-0,1570000000,0x5d944c80,800000,0xc3500,800000,0xc3500,800000,0xc3500,150000,0x249f0,566000,0x8a2f0
cpu9,/sys/kernel/debug/opp/cpu9/opp:1440000000/supply-0,1440000000,0x55d4a800,800000,0xc3500,800000,0xc3500,800000,0xc3500,121000,0x1d8a8,489000,0x77628
cpu9,/sys/kernel/debug/opp/cpu9/opp:1325000000/supply-0,1325000000,0x4ef9e540,800000,0xc3500,800000,0xc3500,800000,0xc3500,100000,0x186a0,429000,0x68bc8
cpu9,/sys/kernel/debug/opp/cpu9/opp:1204000000/supply-0,1204000000,0x47c39500,700000,0xaae60,700000,0xaae60,700000,0xaae60,84000,0x14820,373000,0x5b108
cpu9,/sys/kernel/debug/opp/cpu9/opp:1104000000/supply-0,1104000000,0x41cdb400,700000,0xaae60,700000,0xaae60,700000,0xaae60,73000,0x11d28,340000,0x53020
cpu9,/sys/kernel/debug/opp/cpu9/opp:999000000/supply-0,999000000,0x3b8b87c0,700000,0xaae60,700000,0xaae60,700000,0xaae60,60000,0xea60,307000,0x4af38
cpu9,/sys/kernel/debug/opp/cpu9/opp:869000000/supply-0,869000000,0x33cbe340,700000,0xaae60,700000,0xaae60,700000,0xaae60,50000,0xc350,267000,0x412f8
cpu9,/sys/kernel/debug/opp/cpu9/opp:750000000/supply-0,750000000,0x2cb41780,600000,0x927c0,600000,0x927c0,600000,0x927c0,41000,0xa028,230000,0x38270
cpu9,/sys/kernel/debug/opp/cpu9/opp:692000000/supply-0,692000000,0x293f1500,600000,0x927c0,600000,0x927c0,600000,0x927c0,36000,0x8ca0,212000,0x33c20
cpu9,/sys/kernel/debug/opp/cpu9/opp:576000000/supply-0,576000000,0x22551000,600000,0x927c0,600000,0x927c0,600000,0x927c0,29000,0x7148,176000,0x2af80
cpu9,/sys/kernel/debug/opp/cpu9/opp:450000000/supply-0,450000000,0x1ad27480,550000,0x86470,550000,0x86470,550000,0x86470,22000,0x55f0,137000,0x21728
cpu9,/sys/kernel/debug/opp/cpu9/opp:418000000/supply-0,418000000,0x18ea2c80,550000,0x86470,550000,0x86470,550000,0x86470,21000,0x5208,127000,0x1f018
cpu8,/sys/kernel/debug/opp/cpu8/opp:2150000000/supply-0,2150000000,0x80266580,1100000,0x10c8e0,1100000,0x10c8e0,1100000,0x10c8e0,373000,0x5b108,1144000,0x1174c0
cpu8,/sys/kernel/debug/opp/cpu8/opp:2020000000/supply-0,2020000000,0x7866c100,1000000,0xf4240,1000000,0xf4240,1000000,0xf4240,314000,0x4ca90,956000,0xe9660
cpu8,/sys/kernel/debug/opp/cpu8/opp:1930000000/supply-0,1930000000,0x73097680,1000000,0xf4240,1000000,0xf4240,1000000,0xf4240,267000,0x412f8,876000,0xd5de0
cpu8,/sys/kernel/debug/opp/cpu8/opp:1850000000/supply-0,1850000000,0x6e44c280,900000,0xdbba0,900000,0xdbba0,900000,0xdbba0,273000,0x42a68,795000,0xc2178
cpu8,/sys/kernel/debug/opp/cpu8/opp:1748000000/supply-0,1748000000,0x68305d00,900000,0xdbba0,900000,0xdbba0,900000,0xdbba0,197000,0x30188,712000,0xadd40
cpu8,/sys/kernel/debug/opp/cpu8/opp:1652000000/supply-0,1652000000,0x62778500,900000,0xdbba0,900000,0xdbba0,900000,0xdbba0,168000,0x29040,639000,0x9c018
cpu8,/sys/kernel/debug/opp/cpu8/opp:1570000000/supply-0,1570000000,0x5d944c80,800000,0xc3500,800000,0xc3500,800000,0xc3500,150000,0x249f0,566000,0x8a2f0
cpu8,/sys/kernel/debug/opp/cpu8/opp:1440000000/supply-0,1440000000,0x55d4a800,800000,0xc3500,800000,0xc3500,800000,0xc3500,121000,0x1d8a8,489000,0x77628
cpu8,/sys/kernel/debug/opp/cpu8/opp:1325000000/supply-0,1325000000,0x4ef9e540,800000,0xc3500,800000,0xc3500,800000,0xc3500,100000,0x186a0,429000,0x68bc8
cpu8,/sys/kernel/debug/opp/cpu8/opp:1204000000/supply-0,1204000000,0x47c39500,700000,0xaae60,700000,0xaae60,700000,0xaae60,84000,0x14820,373000,0x5b108
cpu8,/sys/kernel/debug/opp/cpu8/opp:1104000000/supply-0,1104000000,0x41cdb400,700000,0xaae60,700000,0xaae60,700000,0xaae60,73000,0x11d28,340000,0x53020
cpu8,/sys/kernel/debug/opp/cpu8/opp:999000000/supply-0,999000000,0x3b8b87c0,700000,0xaae60,700000,0xaae60,700000,0xaae60,60000,0xea60,307000,0x4af38
cpu8,/sys/kernel/debug/opp/cpu8/opp:869000000/supply-0,869000000,0x33cbe340,700000,0xaae60,700000,0xaae60,700000,0xaae60,50000,0xc350,267000,0x412f8
cpu8,/sys/kernel/debug/opp/cpu8/opp:750000000/supply-0,750000000,0x2cb41780,600000,0x927c0,600000,0x927c0,600000,0x927c0,41000,0xa028,230000,0x38270
cpu8,/sys/kernel/debug/opp/cpu8/opp:692000000/supply-0,692000000,0x293f1500,600000,0x927c0,600000,0x927c0,600000,0x927c0,36000,0x8ca0,212000,0x33c20
cpu8,/sys/kernel/debug/opp/cpu8/opp:576000000/supply-0,576000000,0x22551000,600000,0x927c0,600000,0x927c0,600000,0x927c0,29000,0x7148,176000,0x2af80
cpu8,/sys/kernel/debug/opp/cpu8/opp:450000000/supply-0,450000000,0x1ad27480,550000,0x86470,550000,0x86470,550000,0x86470,22000,0x55f0,137000,0x21728
